fact,k_s,pzt,pzm,fnlt,fnlm
5.479672659031891227e-04,2.749750782390421588e-01,2.092644632004969659e-09,2.093042943940114280e-09,-3.440953267518283287e-02,1.264421254035915342e-02
5.493487904963982246e-04,2.756683401485481855e-01,2.092588544865925748e-09,2.092981777200336506e-09,-3.436519598736655079e-02,1.268387670655351032e-02
5.507337981629959562e-04,2.763633498967247304e-01,2.092490782517281664e-09,2.092894528215254342e-09,-3.434085249778175142e-02,1.272366221328989633e-02
5.521222976844401917e-04,2.770601118901892534e-01,2.092392696235887410e-09,2.092780955390551361e-09,-3.427422119060120898e-02,1.276356893417767042e-02
5.535142978643281053e-04,2.777586305466687722e-01,2.092242764645575872e-09,2.092644510813965941e-09,-3.433862204086012698e-02,1.280360038444331577e-02
5.549098075284543928e-04,2.784589102950292272e-01,2.092095525292160258e-09,2.092491871897901328e-09,-3.424541554032341922e-02,1.284376283628634909e-02
5.563088355248614700e-04,2.791609555753007954e-01,2.091934762260472380e-09,2.092332000389891342e-09,-3.411718576503058875e-02,1.288406478729740672e-02
5.577113907239031158e-04,2.798647708387095867e-01,2.091781278411042604e-09,2.092174858768011632e-09,-3.410084649549127711e-02,1.292451623632347862e-02
5.591174820182945619e-04,2.805703605477029572e-01,2.091635710226650945e-09,2.092029965571105359e-09,-3.409591231519591703e-02,1.296512697149471149e-02
5.605271183231717988e-04,2.812777291759792075e-01,2.091514392599497650e-09,2.091904997668859993e-09,-3.406401658534340821e-02,1.300590583761211672e-02
5.619403085761475207e-04,2.819868812085155607e-01,2.091409108018566891e-09,2.091804646895426953e-09,-3.406157545121813596e-02,1.304685897614198294e-02
5.633570617373677208e-04,2.826978211415968611e-01,2.091328392907484554e-09,2.091729904165217250e-09,-3.394236757545087552e-02,1.308798942632784928e-02
5.647773867895683952e-04,2.834105534828435524e-01,2.091279905558938069e-09,2.091677885368893546e-09,-3.391601849775990885e-02,1.312929675231794616e-02
5.662012927381330054e-04,2.841250827512410981e-01,2.091246253670085642e-09,2.091642233979296508e-09,-3.390241520338341252e-02,1.317077720265572537e-02
5.676287886111488568e-04,2.848414134771676820e-01,2.091221537024624695e-09,2.091614050329635637e-09,-3.387107900772558244e-02,1.321242439051257926e-02
5.690598834594647786e-04,2.855595502024236287e-01,2.091183516918826432e-09,2.091583215812512094e-09,-3.385209602319709521e-02,1.325423026685019351e-02
5.704945863567485861e-04,2.862794974802598813e-01,2.091138912004056980e-09,2.091539918204967253e-09,-3.372770662556427712e-02,1.329618688093545456e-02
5.719329063995443269e-04,2.870012598754070887e-01,2.091077783233985664e-09,2.091476148961282330e-09,-3.384092486883066853e-02,1.333828757936887481e-02
5.733748527073301770e-04,2.877248419641042498e-01,2.090994321540940955e-09,2.091386941039229778e-09,-3.368458125299426259e-02,1.338053145734350961e-02
5.748204344225759039e-04,2.884502483341279122e-01,2.090877896245161130e-09,2.091271159889923513e-09,-3.371157523390134331e-02,1.342290710850324760e-02
5.762696607108014129e-04,2.891774835848213154e-01,2.090737322040926934e-09,2.091131696877107934e-09,-3.356865561942846271e-02,1.346542803106090709e-02
5.777225407606344275e-04,2.899065523271234790e-01,2.090579739734038388e-09,2.090975056870283640e-09,-3.356622971183128440e-02,1.350809727352538479e-02
5.791790837838688187e-04,2.906374591835982901e-01,2.090413842469647151e-09,2.090810363325344739e-09,-3.348735477969237012e-02,1.355092386384443987e-02
5.806392990155231524e-04,2.913702087884641467e-01,2.090253346371659642e-09,2.090647944807284556e-09,-3.353997536816649694e-02,1.359391871174309326e-02
5.821031957138989108e-04,2.921048057876229898e-01,2.090098494535336735e-09,2.090497713593480309e-09,-3.343697549692405818e-02,1.363709264674680018e-02
5.835707831606397984e-04,2.928412548386900571e-01,2.089970583938118047e-09,2.090367590333218860e-09,-3.342770859641843589e-02,1.368045497133455260e-02
5.850420706607898551e-04,2.935795606110230827e-01,2.089865362659356254e-09,2.090262227110919080e-09,-3.334609543304836721e-02,1.372401233741119171e-02
5.865170675428529792e-04,2.943197277857523275e-01,2.089778666987920507e-09,2.090182238711544977e-09,-3.333543950158695396e-02,1.376776751046201487e-02
5.879957831588521243e-04,2.950617610558098902e-01,2.089728551282469851e-09,2.090124074264462595e-09,-3.336677639067448659e-02,1.381171955130209954e-02
5.894782268843880638e-04,2.958056651259596825e-01,2.089685422468135221e-09,2.090080561715291655e-09,-3.316043330322118038e-02,1.385586358558123926e-02
5.909644081186992380e-04,2.965514447128270170e-01,2.089639521551988696e-09,2.090042047262457533e-09,-3.336580835775408010e-02,1.390019223549543090e-02
5.924543362847212776e-04,2.972991045449288050e-01,2.089596409569942424e-09,2.089997954650022891e-09,-3.316184563677648800e-02,1.394469659817688945e-02
5.939480208291469596e-04,2.980486493627034772e-01,2.089542413275495418e-09,2.089938514552516820e-09,-3.319021962041214524e-02,1.398936823708731535e-02
5.954454712224849710e-04,2.988000839185405710e-01,2.089460179315577439e-09,2.089856381883378236e-09,-3.309806498803009867e-02,1.403420091746886839e-02
5.969466969591233352e-04,2.995534129768123166e-01,2.089339399429200254e-09,2.089747871062510156e-09,-3.304916693668302069e-02,1.407919050953904128e-02
5.984517075573829708e-04,3.003086413139008370e-01,2.089216580543879953e-09,2.089613595183524673e-09,-3.306123543061720294e-02,1.412433862484231868e-02
5.999605125595865391e-04,3.010657737182326210e-01,2.089062143151393774e-09,2.089458393854344021e-09,-3.289054877759213513e-02,1.416965008206920972e-02
6.014731215321121116e-04,3.018248149903052235e-01,2.088889850228657707e-09,2.089290548480351030e-09,-3.295240418127060034e-02,1.421513358027927214e-02
6.029895440654568133e-04,3.025857699427194070e-01,2.088720685850536317e-09,2.089120405187082161e-09,-3.283104318597238058e-02,1.426080017536799326e-02
6.045097897742974288e-04,3.033486434002096166e-01,2.088572204168917324e-09,2.088958630270166793e-09,-3.291143255336551054e-02,1.430666164758122132e-02
6.060338682975507929e-04,3.041134401996740677e-01,2.088419862060048553e-09,2.088814389919658284e-09,-3.276823770561446830e-02,1.435272902942109734e-02
6.075617892984352649e-04,3.048801651902057208e-01,2.088297068325145264e-09,2.088693765117412779e-09,-3.285629074632474139e-02,1.439901043377390943e-02
6.090935624645322025e-04,3.056488232331231458e-01,2.088202590823643634e-09,2.088598680288746746e-09,-3.281742344587752075e-02,1.444551028014946781e-02
6.106291975078465689e-04,3.064194192020009422e-01,2.088125640293192018e-09,2.088526539335803247e-09,-3.264992753464639186e-02,1.449222838483579107e-02
6.121687041648697083e-04,3.071919579827011582e-01,2.088080067632115872e-09,2.088470645525654466e-09,-3.270082907306851722e-02,1.453916035726861462e-02
6.137120921966397356e-04,3.079664444734036000e-01,2.088028720292661837e-09,2.088421344814760146e-09,-3.258445071245266722e-02,1.458629861492928559e-02
6.152593713888046371e-04,3.087428835846375286e-01,2.087965334627661376e-09,2.088367703423882936e-09,-3.258885406138444657e-02,1.463363374841284738e-02
6.168105515516836366e-04,3.095212802393126350e-01,2.087902656519080939e-09,2.088299432299305325e-09,-3.253493247838468855e-02,1.468115641479283799e-02
6.183656425203294281e-04,3.103016393727499045e-01,2.087808582900399147e-09,2.088208719971675531e-09,-3.248965821781362590e-02,1.472885978675718410e-02
6.199246541545907346e-04,3.110839659327133133e-01,2.087684125814755164e-09,2.088091645683960246e-09,-3.243462961743896755e-02,1.477673943021650185e-02
6.214875963391747584e-04,3.118682648794409151e-01,2.087550967521546309e-09,2.087948909406843998e-09,-3.240321372492458579e-02,1.482479702064555538e-02
6.230544789837098472e-04,3.126545411856766488e-01,2.087380919785981747e-09,2.087785738502146652e-09,-3.235214301956691046e-02,1.487303802632091235e-02
6.246253120228081619e-04,3.134427998367013135e-01,2.087212754908794902e-09,2.087610971211080480e-09,-3.227959250916474093e-02,1.492147212329966201e-02
6.262001054161291016e-04,3.142330458303648211e-01,2.087049247683019866e-09,2.087435471268718729e-09,-3.217995252724080435e-02,1.497011128945070768e-02
6.277788691484419712e-04,3.150252841771174483e-01,2.086867847702792041e-09,2.087270152143964070e-09,-3.211214194860323445e-02,1.501896833172729727e-02
6.293616132296894067e-04,3.158195199000416453e-01,2.086728479986543158e-09,2.087123968451316298e-09,-3.205088358109600688e-02,1.506805441602654047e-02
6.309483476950511266e-04,3.166157580348840095e-01,2.086606199330717540e-09,2.087002245416805042e-09,-3.211780613044466076e-02,1.511737740654717568e-02
6.325390826050072491e-04,3.174140036300872048e-01,2.086510608490703603e-09,2.086905662745896649e-09,-3.204311191236697276e-02,1.516694060380399493e-02
6.341338280454021517e-04,3.182142617468218804e-01,2.086430353321222296e-09,2.086830094524769879e-09,-3.203771455663471240e-02,1.521674236905702464e-02
6.357325941275086562e-04,3.190165374590189229e-01,2.086369294765774261e-09,2.086767348931270039e-09,-3.199741625957178148e-02,1.526677651749936901e-02
6.373353909880914540e-04,3.198208358534013196e-01,2.086313687502769961e-09,2.086706684674536422e-09,-3.201209335478177181e-02,1.531703397282801506e-02
6.389422287894724840e-04,3.206271620295168545e-01,2.086228836622307999e-09,2.086636828694282877e-09,-3.195782307817740531e-02,1.536750449750129942e-02
6.405531177195935991e-04,3.214355210997696388e-01,2.086154643795688917e-09,2.086548119795722264e-09,-3.185632545032111851e-02,1.541817899315773427e-02
6.421680679920851965e-04,3.222459181894545277e-01,2.086039180337703136e-09,2.086434368624240265e-09,-3.178339909659486789e-02,1.546905697880899405e-02
6.437870898463232466e-04,3.230583584367858196e-01,2.085905373995969476e-09,2.086294076524750187e-09,-3.181643138941850357e-02,1.552012060598649199e-02
