Nout,K,MPP Pz,PyT Pz,MPP fNL,PyT fNL
11.3,46732.33421565599,5.031651612935134e-07,4.821429759318619e-07,0.033297315240599805,174386.20655325067
11.4,51647.21669974308,3.695099288181157e-07,3.546851344120259e-07,0.033766971872549366,174699.26450499173
11.5,57079.00188584378,2.713202719929419e-07,2.6007351308752514e-07,0.03425004700858092,174425.91482832987
11.6,63082.05290555758,1.9919443814087005e-07,1.9097329775314786e-07,0.03474666606030485,174467.29859032863
11.7,69716.45031092803,1.4622081372396886e-07,1.4035150720604222e-07,0.03525663492452792,174577.04364165972
11.8,77048.59338079914,1.0731893460175049e-07,1.0287634533586889e-07,0.03578164518199766,174354.85939758492
11.9,85151.86466711003,7.875474971834317e-08,7.559361580249409e-08,0.03632126946956939,174589.83824051882
12.0,94107.36443213663,5.778410849805512e-08,5.538763190415583e-08,0.036876048301442366,174793.95510612853
12.1,104004.72232716992,4.239057287434126e-08,4.060368553612341e-08,0.03744583633763637,174451.49703762168
12.2,114942.99443618547,3.109261430023947e-08,2.981704261346301e-08,0.03803276511774927,174544.16000308562
12.3,127031.65466242195,2.2801849898027682e-08,2.186594202626106e-08,0.03863558661080064,173578.57842069885
12.4,140391.69037999018,1.67188168042685e-08,1.604771139098477e-08,0.039257146635701866,174631.2468847734
12.5,155156.81331617344,1.2256352513943587e-08,1.1764281367314558e-08,0.039896242743395774,174469.80678752763
12.6,171474.79778332604,8.983276122967891e-09,8.61383045724385e-09,0.04055492075736459,174429.04581425383
12.7,189508.95965384808,6.582994668525392e-09,6.318770474467748e-09,0.04123374233157302,174658.13345139785
12.8,209439.79088032103,4.823084277363287e-09,4.622356171339977e-09,0.04193328703621208,174772.5352550577
12.9,231466.76591961764,3.5329380407957762e-09,3.388053209166854e-09,0.04265560601633315,174515.90705503855
13.0,255810.3381403013,2.5873436605556102e-09,2.4800879524627343e-09,0.043400898696206565,175172.64374157233
13.1,282714.146194018,1.894419276377721e-09,1.8184016902389765e-09,0.04417220906384406,174593.03903254832
13.2,312447.4524329911,1.386751984741432e-09,1.3283678798120882e-09,0.0449706437707232,174519.21176699625
13.3,345307.83777812915,1.0148896690520138e-09,9.74172905578212e-10,0.04579845912223908,174939.0755131303
13.4,381624.18000887125,7.425619042404014e-10,7.121004394667908e-10,0.04665837173343926,174832.69354381604
13.5,421759.9452825184,5.431709467331286e-10,5.207851837805547e-10,0.0475539016287241,174960.07763847182
13.6,466116.8258256696,3.97215713579304e-10,3.807936420111106e-10,0.04848764365379293,174511.14603273405
13.7,515138.7602050006,2.9040095649870477e-10,2.7839525061308675e-10,0.049465383659660314,174597.21279046815
13.8,569316.3764136218,2.122495561421851e-10,2.035461620272556e-10,0.05049246368842808,174891.3540846699
13.9,629191.9022408811,1.550842432461861e-10,1.4871275443243348e-10,0.05157454330475457,175206.7285818304
14.0,695364.5920702865,1.1328053448730871e-10,1.0858184279316064e-10,0.052719347432190346,175219.53560484957
14.1,768496.7244187294,8.271870132988054e-11,7.929457356664474e-11,0.05393714979292992,174898.61997734907
14.2,849320.2302424139,6.038185025941985e-11,5.7884259258456874e-11,0.055238775799196775,175351.0104236659
14.3,938644.0183477782,4.406118785351088e-11,4.2225284793827615e-11,0.05663798525068577,174945.6785131443
14.4,1037362.0712226367,3.213993574905556e-11,3.080989082846588e-11,0.0581526934438074,175366.4499884026
14.5,1146462.392313292,2.3434936754462628e-11,2.245456185720888e-11,0.059802935727300166,175175.46156791097
14.6,1267036.8942949877,1.7080568293129107e-11,1.6400083070105795e-11,0.06161350290691538,174531.34202582997
14.7,1400292.3273008359,1.2443683485583909e-11,1.1917968523140114e-11,0.0636163390726561,175505.8052717802
14.8,1547562.3564825878,9.061296512216127e-12,8.682183036616679e-12,0.06584826832880362,176118.76880830043
14.9,1710320.9097795675,6.594943291385215e-12,6.3196463632870554e-12,0.06835530278971391,176407.01579738493
15.0,1890196.9294846759,4.797259664771421e-12,4.598202504776514e-12,0.07119443610511099,176355.21542076717
15.1,2088990.6752460797,3.4875136885407056e-12,3.3399625347730873e-12,0.07443545107534592,176843.29649988396
15.2,2308691.7416705997,2.5336964498657596e-12,2.4277490859488937e-12,0.07816295485458602,177281.1186476081
15.3,2551498.970854938,1.839417032848098e-12,1.762525900177415e-12,0.08248446680253438,177652.70761381937
15.4,2819842.459136098,1.3343149531420611e-12,1.2775197442347493e-12,0.08752807716185808,178386.02215961984
15.5,3116407.87831186,9.670478965348227e-13,9.264547757465068e-13,0.09345557999641149,179332.6116121711
15.6,3444163.354746343,7.001642663135346e-13,6.704339703279873e-13,0.10046850334647894,180996.97079651977
15.7,3806389.1753756693,5.063550150582087e-13,4.850366450045378e-13,0.10881681586760357,181548.7608724528
15.8,4206710.617921403,3.6571447384028553e-13,3.502326089760181e-13,0.11881388089694325,183093.61183203812
15.9,4649134.233887505,2.637391166854439e-13,2.526472705979174e-13,0.1308532445255288,185353.95800274538
16.0,5138087.947473636,1.8986593912541864e-13,1.8183795294909297e-13,0.14543699272026492,186832.51077146994
16.1,5678465.371727742,1.3640526779564973e-13,1.3060142990402542e-13,0.16320111777582552,191282.11459536196
16.2,6275674.785468926,9.776175168569152e-14,9.365154797931503e-14,0.18497071596985126,194574.93091738404
16.3,6935693.261158124,6.98660275066836e-14,6.677347923031678e-14,0.211813752322093,199341.0950627286
16.4,7665126.485446563,4.976010361785311e-14,4.754911921340205e-14,0.24514261341842022,205367.45231773853
16.5,8471274.871105878,3.529506888370523e-14,3.367685067734827e-14,0.2868439257003012,213060.76452380168
16.6,9362206.622009816,2.491075145637396e-14,2.37583424825421e-14,0.33948482916989026,223270.80242715083
16.7,10346838.48242694,1.7475179587999102e-14,1.6638261530805182e-14,0.406629153597054,236903.385224746
16.8,11435024.978791071,1.2167659895559744e-14,1.1566739578485094e-14,0.4933508577384776,253960.1426232623
16.9,12637657.047109924,8.393659775204545e-15,7.967550035835856e-15,0.6070440857769126,276300.68835876026
17.0,13966771.033107404,5.722869486185727e-15,5.414555976215875e-15,0.7589067909560222,307973.81631481205
17.1,15435669.156010125,3.84415226184055e-15,3.627438670354781e-15,0.966511579301433,353542.7969263364
17.2,17059052.641621556,2.532794745381386e-15,2.3769073079160136e-15,1.2587783888893662,420566.18621978484
17.3,18853168.857121535,1.6267109741468986e-15,1.5205815188767513e-15,1.6861518849011488,527019.9480059594
