Nout,K,MPP Pz,PyT Pz,MPP fNL,PyT fNL
10.64,24153.669330614215,3.8486480784608605e-06,3.6942089538167523e-06,0.030501128337022905,175061.29471726355
10.68,25139.399273908588,3.4025619608085784e-06,3.2621735443133302e-06,0.030656305183803377,174571.03743217842
10.72,26165.357619258706,3.0083395177671147e-06,2.8857039272841877e-06,0.03081284398813018,173372.14533589748
10.76,27233.186118893675,2.6596361839077355e-06,2.551217195764452e-06,0.03097137760989246,173611.89476679877
10.8,28344.593526221826,2.351252264069499e-06,2.2534126102086506e-06,0.031132693283614996,174387.8946788742
10.84,29501.35833020084,2.0787053615857317e-06,1.9926551271680034e-06,0.03129482004205248,174613.72602250136
10.88,30705.3316012996,1.837605067296461e-06,1.7613495741706128e-06,0.031459043896435376,174324.80023181526
10.92,31958.439953605706,1.6245466345713869e-06,1.5577945231577943e-06,0.03162451475535524,173612.0957754111
10.96,33262.68862781896,1.4361077394100964e-06,1.377111245543207e-06,0.03179272226118133,173345.81978235187
11.0,34620.1647000644,1.2694749278103739e-06,1.2160440359001117e-06,0.031962311460792876,174467.37637402627
11.04,36033.04042165935,1.122213403945545e-06,1.0771694300679324e-06,0.032134511898327944,175066.8510810596
11.08,37503.57669517899,9.919591894193506e-07,9.512618132896642e-07,0.0323081866213378,174927.67775894667
11.12,39034.12669238262,8.768606326790605e-07,8.405476358758936e-07,0.03248438720716905,173574.06561883097
11.16,40627.13961979054,7.750727519665876e-07,7.429855677621895e-07,0.032661593186428015,173431.95717119312
11.2,42285.16463793727,6.850736979272243e-07,6.5670444862033e-07,0.03284018058217801,174339.16191625246
11.24,44010.854940571975,6.05541219966695e-07,5.801335711187398e-07,0.03302134935414217,174631.31470679876
11.28,45806.97200033441,5.35203254232251e-07,5.12838637071116e-07,0.03320455540883762,174447.3220274139
11.32,47676.389987700386,4.730528507672056e-07,4.540611393597299e-07,0.03339028537427123,174494.71466326958
11.36,49622.10037026785,4.180960600879716e-07,4.013110650558045e-07,0.03357761525811073,174478.21531047428
11.4,51647.21669974308,3.695099288181157e-07,3.546851344120259e-07,0.033766971872549366,174699.26450499173
11.44,53754.97959428753,3.265765230899279e-07,3.1294699666761524e-07,0.033958788369344114,174889.43217051556
11.48,55948.76192419826,2.8861180314568984e-07,2.766514426927318e-07,0.034152734517912814,174461.77997871418
11.52,58232.07420922029,2.550682681602971e-07,2.4436425162609585e-07,0.034348583734820366,174443.697903119
11.56,60608.57023612684,2.254107694708489e-07,2.1595168007950204e-07,0.034546453104403546,174404.4819795536
11.60,63082.05290555758,1.9919443814087005e-07,1.9097329775314786e-07,0.03474666606030485,174467.29859032863
